func,algo,run,best_f,seconds
F22022,BKA,25,4.0005008525e+02,0.27
F22022,BKA,26,4.1573199744e+02,0.26
F22022,BKA,27,4.0036369691e+02,0.27
F22022,BKA,28,4.9427665449e+02,0.31
F22022,BKA,29,4.7564840897e+02,0.26
F22022,BKA-S1,0,4.0513726218e+02,0.26
F22022,BKA-S1,1,4.1424180520e+02,0.26
F22022,BKA-S1,2,4.5244064493e+02,0.27
F22022,BKA-S1,3,5.0537662317e+02,0.26
F22022,BKA-S1,4,4.5397136671e+02,0.27
F22022,BKA-S1,5,4.7173612047e+02,0.27
F22022,BKA-S1,6,4.7138301428e+02,0.26
F22022,BKA-S1,7,4.6831626147e+02,0.28
F22022,BKA-S1,8,4.0343512274e+02,0.26
F22022,BKA-S1,9,4.0029579277e+02,0.26
F22022,BKA-S1,14,4.0699657573e+02,0.26
F22022,BKA-S1,15,4.0403476023e+02,0.26
F22022,BKA-S1,16,4.7098220162e+02,0.26
F22022,BKA-S1,17,4.2111048290e+02,0.26
F22022,BKA-S1,10,4.6973140757e+02,0.27
F22022,BKA-S1,11,4.0608286591e+02,0.27
F22022,BKA-S1,12,4.0661244781e+02,0.26
F22022,BKA-S1,13,4.6681186980e+02,0.27
F22022,BKA-S1,18,4.0404224872e+02,0.27
F22022,BKA-S1,19,4.0897247734e+02,0.26
F22022,BKA-S1,20,4.0022651286e+02,0.27
F22022,BKA-S1,21,4.3494876861e+02,0.26
F22022,BKA-S1,22,4.0892412328e+02,0.26
F22022,BKA-S1,23,4.0042881428e+02,0.26
F22022,BKA-S1,24,4.0018986322e+02,0.26
F22022,BKA-S1,25,4.0894220284e+02,0.27
F22022,BKA-S1,26,4.3842708927e+02,0.26
F22022,BKA-S1,27,4.1547887696e+02,0.26
F22022,BKA-S1,28,4.0768896781e+02,0.26
F22022,BKA-S1,29,4.7716606129e+02,0.28
F22022,BKA-S2,0,4.0560668355e+02,0.34
F22022,BKA-S2,1,4.0494131155e+02,0.34
F22022,BKA-S2,2,4.0273434992e+02,0.34
F22022,BKA-S2,3,4.5099192340e+02,0.34
F22022,BKA-S2,4,4.0831807292e+02,0.34
F22022,BKA-S2,5,4.0446289060e+02,0.34
F22022,BKA-S2,6,4.1587785327e+02,0.34
F22022,BKA-S2,7,4.4455982026e+02,0.34
F22022,BKA-S2,8,4.0761970595e+02,0.34
F22022,BKA-S2,9,4.1423624809e+02,0.33
F22022,BKA-S2,10,4.0905605415e+02,0.33
F22022,BKA-S2,11,4.0481769220e+02,0.34
F22022,BKA-S2,12,4.1387473105e+02,0.34
F22022,BKA-S2,13,4.1982668202e+02,0.33
F22022,BKA-S2,14,4.0168010041e+02,0.37
F22022,BKA-S2,15,4.7038114189e+02,0.34
F22022,BKA-S2,16,5.1456069459e+02,0.34
F22022,BKA-S2,17,4.0732871733e+02,0.36
F22022,BKA-S2,18,4.0427877440e+02,0.34
F22022,BKA-S2,19,4.0450539749e+02,0.34
F22022,BKA-S2,20,4.0765664835e+02,0.35
F22022,BKA-S2,21,4.2395851377e+02,0.35
F22022,BKA-S2,22,4.6722361321e+02,0.34
F22022,BKA-S2,23,4.1812216173e+02,0.35
F22022,BKA-S2,24,4.0867447350e+02,0.35
F22022,BKA-S2,25,4.0949193118e+02,0.35
F22022,BKA-S2,26,4.1450303933e+02,0.35
F22022,BKA-S2,27,4.1428537252e+02,0.33
F22022,BKA-S2,28,4.6421676397e+02,0.34
F22022,BKA-S2,29,4.1609200316e+02,0.33
F22022,BKA-S3,0,4.9107747426e+02,0.27
F22022,BKA-S3,1,4.0655106358e+02,0.26
F22022,BKA-S3,2,4.4727210004e+02,0.26
F22022,BKA-S3,3,4.0962175701e+02,0.26
F22022,BKA-S3,4,4.0039997231e+02,0.26
F22022,BKA-S3,5,4.6417924776e+02,0.27
F22022,BKA-S3,6,4.0006182410e+02,0.26
F22022,BKA-S3,7,4.1765173965e+02,0.27
F22022,BKA-S3,8,4.0895216510e+02,0.27
F22022,BKA-S3,9,4.0747278032e+02,0.27
F22022,BKA-S3,10,4.0026098188e+02,0.26
F22022,BKA-S3,11,4.0025076250e+02,0.26
F22022,BKA-S3,12,4.0988667030e+02,0.26
F22022,BKA-S3,13,4.7828738765e+02,0.26
F22022,BKA-S3,14,4.0408304301e+02,0.26
F22022,BKA-S3,15,4.0048628450e+02,0.26
F22022,BKA-S3,16,4.7288659923e+02,0.26
F22022,BKA-S3,17,4.7193616774e+02,0.26
F22022,BKA-S3,18,4.0064187900e+02,0.26
F22022,BKA-S3,19,4.0892845256e+02,0.26
F22022,BKA-S3,20,4.3357508745e+02,0.26
F22022,BKA-S3,21,4.5007253540e+02,0.27
F22022,BKA-S3,22,4.5136460095e+02,0.26
F22022,BKA-S3,23,4.0911016437e+02,0.26
F22022,BKA-S3,24,4.0139492508e+02,0.27
F22022,BKA-S3,25,4.0033169019e+02,0.27
F22022,BKA-S3,26,4.0482535513e+02,0.26
F22022,BKA-S3,27,4.0893701271e+02,0.26
F22022,BKA-S3,28,4.0056257983e+02,0.26
F22022,BKA-S3,29,4.1664633025e+02,0.26
F22022,SSA,0,4.7081363455e+02,0.24
F22022,SSA,1,4.0398691949e+02,0.24
F22022,SSA,2,4.0891610454e+02,0.24
F22022,SSA,3,4.6962670268e+02,0.25
F22022,SSA,4,4.0891661986e+02,0.24
F22022,SSA,5,4.1155836515e+02,0.24
F22022,SSA,6,4.0891664621e+02,0.24
F22022,SSA,7,4.0891610298e+02,0.25
F22022,SSA,8,4.0317440755e+02,0.24
F22022,SSA,9,4.7377545699e+02,0.25
F22022,SSA,10,4.0891635916e+02,0.25
F22022,SSA,11,4.0891625570e+02,0.25
F22022,SSA,12,4.0775783554e+02,0.24
F22022,SSA,13,4.0551229285e+02,0.24
