study,algo,problem,dim,run,value
scale,COA,N8,16,18,9.0398616163e-01
scale,COA,N12,24,18,9.2547495158e-01
scale,COA,N20,40,18,8.6579651690e-01
scale,COA,N30,60,18,7.8511999575e-01
scale,MSSBOA,N8,16,19,9.1208664890e-01
scale,MSSBOA,N12,24,19,9.5485595102e-01
scale,MSSBOA,N20,40,19,8.8526884690e-01
scale,MSSBOA,N30,60,19,8.6073537180e-01
scale,SBOA,N8,16,19,9.4165247436e-01
scale,SBOA,N12,24,19,9.6020894712e-01
scale,SBOA,N20,40,19,9.0173891382e-01
scale,SBOA,N30,60,19,8.6479812521e-01
scale,RIME,N8,16,19,8.8466590962e-01
scale,RIME,N12,24,19,8.9309999281e-01
scale,RIME,N20,40,19,8.5334577505e-01
scale,RIME,N30,60,19,8.2214642854e-01
scale,LSHADE,N8,16,19,9.1484475312e-01
scale,LSHADE,N12,24,19,9.1206878931e-01
scale,LSHADE,N20,40,19,8.7440989564e-01
scale,LSHADE,N30,60,19,8.5150233530e-01
scale,GWO,N8,16,19,8.9714915974e-01
scale,GWO,N12,24,19,8.7146391192e-01
scale,GWO,N20,40,19,8.0454156694e-01
scale,GWO,N30,60,19,7.2976941366e-01
scale,COA,N8,16,19,9.0690643387e-01
scale,COA,N12,24,19,9.0230025026e-01
scale,COA,N20,40,19,8.2052573041e-01
scale,COA,N30,60,19,8.3109794852e-01
scale,SBOA,N8,16,20,9.1757680576e-01
scale,SBOA,N12,24,20,9.2713617614e-01
scale,SBOA,N20,40,20,9.0872936629e-01
scale,SBOA,N30,60,20,8.7584904208e-01
scale,RIME,N8,16,20,8.9988632477e-01
scale,RIME,N12,24,20,8.8811635859e-01
scale,RIME,N20,40,20,8.6000509342e-01
scale,RIME,N30,60,20,8.4645060890e-01
scale,MSSBOA,N8,16,20,9.2925888284e-01
scale,MSSBOA,N12,24,20,9.3666885439e-01
scale,MSSBOA,N20,40,20,9.0056508980e-01
scale,MSSBOA,N30,60,20,8.6877476261e-01
scale,LSHADE,N8,16,20,9.0441776644e-01
scale,LSHADE,N12,24,20,9.1395908340e-01
scale,LSHADE,N20,40,20,8.8812226914e-01
