study,algo,problem,dim,run,value
weights,SBOA,W0 (Ngo)|DL07,0,2,9.0672114705e-01
weights,SBOA,W0 (Ngo)|DL08,0,2,8.9939333803e-01
weights,SBOA,W1 (equal)|DL01,0,2,8.9804566731e-01
weights,SBOA,W1 (equal)|DL02,0,2,8.7215828688e-01
weights,SBOA,W1 (equal)|DL03,0,2,8.4469810004e-01
weights,SBOA,W1 (equal)|DL04,0,2,8.8944925701e-01
weights,SBOA,W1 (equal)|DL05,0,2,9.0696614565e-01
weights,SBOA,W1 (equal)|DL06,0,2,9.0541171844e-01
weights,SBOA,W1 (equal)|DL07,0,2,8.7475351549e-01
weights,SBOA,W1 (equal)|DL08,0,2,8.6585753269e-01
weights,SBOA,W2 (balance)|DL01,0,2,9.2149981459e-01
weights,SBOA,W2 (balance)|DL02,0,2,9.2223890470e-01
weights,SBOA,W2 (balance)|DL03,0,2,9.0748047686e-01
weights,SBOA,W2 (balance)|DL04,0,2,9.4869225272e-01
weights,SBOA,W2 (balance)|DL05,0,2,9.2827066766e-01
weights,SBOA,W2 (balance)|DL06,0,2,9.3116449983e-01
weights,SBOA,W2 (balance)|DL07,0,2,9.2827036125e-01
weights,SBOA,W2 (balance)|DL08,0,2,9.3197134360e-01
weights,SBOA,W3 (overlap)|DL01,0,2,9.3020656487e-01
weights,SBOA,W3 (overlap)|DL02,0,2,9.3050247774e-01
weights,SBOA,W3 (overlap)|DL03,0,2,9.0455681884e-01
weights,SBOA,W3 (overlap)|DL04,0,2,9.2160158806e-01
weights,SBOA,W3 (overlap)|DL05,0,2,9.4537490334e-01
weights,SBOA,W3 (overlap)|DL06,0,2,9.2506779444e-01
weights,SBOA,W3 (overlap)|DL07,0,2,9.3157698552e-01
weights,SBOA,W3 (overlap)|DL08,0,2,9.2351271755e-01
weights,SBOA,W4 (structure)|DL01,0,2,9.2275628822e-01
weights,SBOA,W4 (structure)|DL02,0,2,9.1781187420e-01
